section,item,status,notes
controller,Manufacturer,,
controller,PLC family / platform,,
controller,CPU catalog number,,
controller,Firmware revision,,
controller,Memory module or storage,,
power,Power supply catalog number,,
power,Input voltage,,
chassis,Rack or chassis catalog number,,
io,Digital input modules and slot order,,
io,Digital output modules and slot order,,
io,Analog input modules and slot order,,
io,Analog output modules and slot order,,
io,Specialty I/O modules,,
network,Communication processor catalog numbers,,
network,Industrial protocols in use,,
network,Node addresses / IP addresses,,
network,Remote I/O dependencies,,
software,Programming software name,,
software,Programming software version,,
software,Compatible operating system,,
backup,Verified PLC program backup,,
backup,HMI / SCADA backup,,
backup,Network configuration backup,,
documentation,Panel drawings,,
documentation,Wiring drawings,,
documentation,Network drawings,,
spares,Spare CPU available,,
spares,Spare power supply available,,
spares,Critical I/O spares available,,
spares,Communication module spares available,,
planning,Planned shutdown window,,
planning,Bench test completed,,
planning,Rollback / recovery plan,,
